"mon_first","id","firstpurchase","lastpurchase","purchases","monetary","f3m","m3m","r","lifetime","f_btts","bt","rfm_recency","rfm_frequency","rfm_monetary"
2019-12-01,723822,2019-12-02,2019-12-02,1,2537.82,1,2537.82,29,0,"1",,5,1,3
2019-12-01,4525932,2019-12-30,2019-12-30,1,2545.2,1,2545.2,1,0,"1",,1,1,3
2019-12-01,714660,2019-12-02,2019-12-02,1,2559.9,1,2559.9,29,0,"1",,5,1,3
2019-12-01,1169322,2019-12-02,2019-12-02,2,2573.16,2,2573.16,29,0,"2",,5,4,3
2019-12-01,713514,2019-12-09,2019-12-16,2,2735.5800000000004,2,2735.5800000000004,15,7,"2",,4,4,3
2019-12-01,776202,2019-12-23,2019-12-23,3,2776.26,3,2776.26,8,0,"3",,1,4,3
2019-12-01,4224870,2019-12-30,2019-12-30,7,2787.7200000000003,7,2787.7200000000003,1,0,"7",,1,5,3
2019-12-01,240217104,2019-12-23,2019-12-23,1,3026.04,1,3026.04,8,0,"1",,2,2,3
2019-12-01,702216,2019-12-09,2019-12-09,1,3026.04,1,3026.04,22,0,"1",,4,2,3
2019-12-01,706068,2019-12-02,2019-12-02,1,3114.6,1,3114.6,29,0,"1",,5,2,3
2019-12-01,2422620,2019-12-09,2019-12-09,2,3184.68,2,3184.68,22,0,"2",,5,4,3
2019-12-01,2431992,2019-12-16,2019-12-16,1,3205.26,1,3205.26,15,0,"1",,4,1,3
2019-12-01,711270,2019-12-09,2019-12-16,2,3221.82,2,3221.82,15,7,"2",,4,4,3
2019-12-01,845964,2019-12-23,2019-12-23,1,3322.44,1,3322.44,8,0,"1",,2,2,3
2019-12-01,1085970,2019-12-02,2019-12-23,2,3636.0,2,3636.0,8,21,"2",,2,3,3
2019-12-01,963582,2019-12-09,2019-12-09,1,3694.32,1,3694.32,22,0,"1",,5,2,3
2019-12-01,711984,2019-12-09,2019-12-09,1,3729.3,1,3729.3,22,0,"1",,5,1,3
2019-12-01,1093788,2019-12-16,2019-12-16,1,3755.58,1,3755.58,15,0,"1",,3,1,3
2019-12-01,2493168,2019-12-09,2019-12-09,1,3766.68,1,3766.68,22,0,"1",,4,2,3
